"report_type"
"cancellation_report"
"Commission Invoice Transaction Details"
"Commission Invoice Transaction Details New"
"Consignment Inwards"
"Earning Insights"
"earn_more_report"
"emerald_earn_more_report"
"emerald_regional_utilisation_report"
"emerald_return_report"
"Flipkart Assured Health Reports"
"Free Shipping Score"
"f_assured_report"
"GSTR return report"
"GSTR return report archived"
"Instock Score"
"Orders"
"Pending Non-Essential Cancellations and Returns"
"Pickup Reattempts"
"Pickup Report"
"Product Rating"
"product_review_report"
"Regional Utilisation Score"
"regional_utilisation_report"
"Return Rate"
"Returns"
"return_report"
"RTS Breaches"
"Sales Report"
"Sales Report Archived"
"Search Traffic Report"
"Seller Recalls"
"Weight Anomaly Orders"
